English (United States),French (Canada),Context,Created By,Created On,Date,Date2,ExampleFile,KBase ID,Modified By,Modified On,Note,Note2
bar code,code ?? barres,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Bar Talk,Bar Talk,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Base ICS Tools,outils de base de l'ICS,ICS Training,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
base station,borne d??acc??s,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
basic troubleshooting,d??pannage de base,Kbase Articles,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
battery,pile,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
battery life,dur??e de vie de la pile,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Battery Replacement Program,programme de remplacement de la pile,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Beneficiary,b??n??ficiaire,HRweb,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Benefits,avantages,HRweb,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Benefits Package,ensemble des avantages sociaux,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Beyond de basics,au-del?? des fondamenteaux,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Bill of Lading Generator,g??n??rateur de facture de fret,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Bill of Lading type,type de facture de fret,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Bill Shipment To,facturer l'exp??dition ??,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
billboards,babillards,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Billing Details,d??tails de la facturation,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Billing information,renseignements sur la facturation,Kbase Articles,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Biz Cards-VipLitho,Cartes d'affaire-VipLitho,ARW web,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
black,noir,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
blank,champ vide,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Blender,Blender,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Blender issues,probl??mes relatifs ?? l'application Blender,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Blocked Cycle Count document,document concernant le gel de l'inventaire cyclique,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
blue,bleu,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
BMO Nesbitt Burns,BMO Nesbitt Burns,HRweb,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Board of Directors,conseil d??administration,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
BOH Guide,Guide d'am??nagement,ARW web,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
BOH Specialists,sp??cialistes BOH,ICS Training,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,Back of House?,
BOH tasks,t??ches BOH,ICS Training,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
BOL (Bill of lading),facture de Fret/d??exp??dition (BOL),,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Book To Physical,quantit?? th??orique ?? quantit?? actuelle,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Boot Camp,[application] Boot Camp,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Bose headphones,??couteurs Bose,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
box,bo??te,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
box cutter,couteau polyvalent,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Boxing Day,soldes du lendemain de No??l,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Bringing POS Back Online,r??initialiser la connexion du POS / r??initialiser la connexion de la caisse (POS),,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
brown,brun,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
browse and search,parcourir et rechercher,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
BTP,BTP,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Bucket,rayon,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
bug,bogue,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Building Security,s??curit?? de l????difice,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
builds,compositions,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Business Consultant,conseiller en affaires,ARW Postings,Admin,21.09.2006 - 06:41:57,,,L32627A-US.doc,,Admin,21.09.2006 - 06:41:57,,
Business Contact Form,formulaire de coordonn??es des clients et des entreprises,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Business Day,Journ??e entreprise,ARW web,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Business Discount,rabais pour entreprise,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
business leads forms,formulaires de r??f??rences des clients,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Business sales,Ventes aux entreprises,ARW web,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Business Strategy,strat??gie de commerce,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Business Travel Insurance,assurance-voyage d??affaires,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Business Use,utilisation commerciale,HRweb,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Business/Accounting,commerce ou comptabilit??,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
buyer's remorse,remords de l??acheteur / le client regrette son achat,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Cabinets,classeurs,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
cable track,tringle pour c??ble,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Calendar Screen,??cran du calendrier,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
calendar week,semaine civile,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Camp,camp,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Campus,si??ge social,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
CAN,CAD,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
CanadaWeb,Canada en ligne,ARW web,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Cancel,annuler,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Cancel an WelocalizeCare Protection Plan,annuler un plan de protection WelocalizeCare,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
canceled receipt,re??u annul??,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
CAP (Corrective Action Plan),plan de correction par ??crit (CAP),,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Car Runner,pr??pos?? ?? la manutention de la marchandise jusqu??aux automobiles des clients,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Carrier claims,r??clamations du transporteur,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Carrier damages,dommages caus??s par le transporteur,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
carrying case,??tui / pochette,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
cartridge,cartouche,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
cascading failure,d??faillance en cha??ne,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
cash equivalent,quasi-esp??ces,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
cash register,tiroir-caisse,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Cash Wrap,La caisse,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Cashier,caissier,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
cashwrap,comptoir caisse,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
CC (Cycle Count),inventaire cyclique (CC),,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
cedilla,c??dille,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Central Receiving Database,base de donn??es du centre de r??ception central,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
CEO,Chef de la direction,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
CES (Customer Experience Skills),Customer Experience Skills (Comp??tences en service ?? la client??le - CES),,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Change Order,commande rectificative,P & P,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Charge to customer,montant ?? payer par le client,POS,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Chat support,soutien technique par clavardage,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
"Check yourself, earn points.","Enregistrez vous, accumulez des points",,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Checking Currency for Authenticity,v??rification de l'authenticit?? de la devise,ARW Postings,Admin,21.09.2006 - 06:41:57,,,L109863A-US.doc,,Admin,21.09.2006 - 06:41:57,,
checking for counterfeit bills,d??pistage des faux billets,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Checking Inventory Health,v??rification de l'??tat des stocks,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Choose,choisir,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Cinema Displays,??cran panoramique,,Admin,26.06.2007 - 06:51:54,,,,,Admin,26.06.2007 - 06:51:54,,
Class Registration,inscription aux formations,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
CLICK HERE,cliquez ici,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
clip,pince,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Closed Box Return,retour avec bo??te scel??e,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Closing Checklist,liste de contr??le de la fermeture,P & P,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Closing Report,Rapport de fermeture,Kbase Articles,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
collateral,mat??riel de soutien,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Collect on delivery,r??clamer lors de la livraison,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
coming soon,arrive bient??t,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Comments and Suggestions,commentaires et suggestions,HRweb,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Comp Forms/Tools,formulaires/outils de comp.,HRweb,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
compatibility,compatibilit??,Kbase Articles,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Completing the iForm,compl??ter le formulaire iForm,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Completion date,date d'ach??vement estim??e,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
compressed file,fichier compress??,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
CompTIA Modifier,modificateur CompTIA,Kbase Articles,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Computer Software Retailer,d??taillant de logiciels,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Concealed Shortage,manque non apparent,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Concierge admin,syst??me ?? administration client de Concierge ??,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
CONDITION OF PACKAGING,??tat de l'emballage,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Confidential,confidentiel,ARW Postings,Admin,21.09.2006 - 06:41:57,,,L29378A-US.doc,,Admin,21.09.2006 - 06:41:57,,
Config. Code,code de configuration,Kbase Articles,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Conflict of Interest,conflit d'int??r??ts,P & P,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Consignee,consignataire,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Consignment number,num??ro de consignation,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Constrained,disponibilit?? limit??e,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Constrained Products,produits contraints,ICS Training,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
consumables,consommables,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Consumer applications,applications g??n??rales,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Contact,Contact,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Contact details of the place of delivery,coordonn??es du lieu d'exp??dition,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Contact Me,Communiquez avec moi,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Contact North America Store Communications,Communiquez avec Store Communications,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Contact North America Store Operations,Communiquez avec le service de gestion des op??rations en magasin,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Contact RFL,Communiquez avec RFL,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Contact Us,Communiquez avec nous,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Contacting RFL procedure,proc??dure de communication avec RFL,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Continue,continuer,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
control valves,soupapes de commande,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
copy (cc),copier (cc),,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
copyright Fee,redevance de droits d'auteur,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Core Staff,personnel de base,P & P,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Cores and Keys,cylindres de serrures et cl??s,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Corporate Communications,communications du si??ge social,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Corporate Holiday,jour f??ri??,HRweb,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Corporate Identity - The Welocalize Brand,identit?? visuelle - la marque Welocalize,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Corporate Offices,si??ge de la soci??t??,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Corporate Policies and Procedures,politiques et proc??dures de l??entreprise,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Corporate Security,s??curit?? de l'entreprise,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Corporate Vacation Entitlement,droit au cong?? annuel de l??entreprise,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Count changed for physical inventory document,inventaire modifi?? dans le document de l'inventaire physique,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Counted: Completely,inventori?? : enti??rement,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Counted: Partially,inventori?? : partiellement,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Country of Origin,pays d'origine,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Courses,cours,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
coverage,couverture,Kbase Articles,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,as in warranty coverage,
CPU (central processing unit),UC - unit?? centrale (CPU),,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
CR,CR,Kbase Articles,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,customer relations,
CRA (Consumer Reporting Agency),agence de renseignements sur la consommation (CRA),,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Create bill of Lading/submit pickup,cr??er la facture de fret/soumettre la demande de ramassage,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Create shipping labels,cr??er ??tiquettes d'exp??dition,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Creating Retail Service Records in PeopleSoft,cr??ation de dossiers de Retail Service dans PeopleSoft,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Creative Support,Soutien cr??atif,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Credit - Ship Damage,cr??dit - endommag?? lors de la livraison,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Credit Card,carte de cr??dit,POS,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Credit Card Authorization,autorisation de la carte de cr??dit,P & P,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Credit Card Fraud,fraude par carte de cr??dit,P & P,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
credit card information,renseignements sur la carte de cr??dit,HRweb,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
credits,g??n??rique,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Credo Card,carte du credo,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
crop,recadrer / d??coupe d'image,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
CRT,CRT,Kbase Articles,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,cathode ray tube,
CRU (Customer Replacement Unit),syst??me remplac?? d??un client (CRU),,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
CS,CS,Kbase Articles,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,customer satisfaction,
CS code (Customer Service Code),code de service ??  la client??le (CS code),,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
CTO (Configured to Order),command?? avec configuration sp??ciale (CTO),,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
currency,devise,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
cursor,pointeur,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
custom configuration,?? la carte,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Customer Changed Mind,acheteur a chang?? d??id??e,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
"Customer City, State, Zip","ville, province et code postal du client",RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
customer contact information,coordonn??es du client,RFL,Admin,21.09.2006 - 06:41:57,,,,,Admin,21.09.2006 - 06:41:57,,
Customer Data Capture Screen,??cran de saisie des donn??s du client,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Customer Email,adresse de courriel du client,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
customer experience skill,comp??tence en mati??re d'exp??rience du client,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
customer loyalty,loyaut?? de la client??le,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Customer Photo Guidelines,directives relatives aux photos des clients,ARW Postings,Admin,21.09.2006 - 06:41:58,,,L37132A-US.doc,,Admin,21.09.2006 - 06:41:58,,
CUSTOMER PO NUMBER,num??ro du bon de commande du client,RFL,Admin,21.09.2006 - 06:41:58,,,,,Admin,21.09.2006 - 06:41:58,,
Customer Return,retour de marchandise,ICS Training,Admin,21.09.2006 - 06:41:58,,,,,Admin,21.09.2006 - 06:41:58,,
Customer Return bucket,rayon pour retour de marchandise,RFL,Admin,21.09.2006 - 06:41:58,,,,,Admin,21.09.2006 - 06:41:58,,
Customer Returns,retour de marchandise,RFL,Admin,21.09.2006 - 06:41:58,,,,,Admin,21.09.2006 - 06:41:58,,
Customer Returns Bucket,rayon pour retour de marchandise,ICS Training,Admin,21.09.2006 - 06:41:58,,,,,Admin,21.09.2006 - 06:41:58,,
Customer Returns Bucket management flowchart,organigramme de gestion du rayon pour retour de marchandise,RFL,Admin,21.09.2006 - 06:41:58,,,,,Admin,21.09.2006 - 06:41:58,,
Customer Returns Bucket process,processus du rayon pour retour de marchandise,RFL,Admin,21.09.2006 - 06:41:58,,,,,Admin,21.09.2006 - 06:41:58,,
Customer Returns label,??tiquette de retour de marchandise,RFL,Admin,21.09.2006 - 06:41:58,,,,,Admin,21.09.2006 - 06:41:58,,
Customer Returns Sticker,??tiquette de retour de marchandise,RFL,Admin,21.09.2006 - 06:41:58,,,,,Admin,21.09.2006 - 06:41:58,,
Customer scenario,simulation,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Customer Support,assistance client,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Cycle count,inventaire cyclique,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Cycle Count Disclosure,divulgation de l'inventaire cyclique,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Cycle count holiday,cong?? d'inventaire cyclique,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
Cycle Count Issues and Transfer Initiations,probl??mes et initialisations du transfert relatifs ?? l'inventaire cyclique,,Admin,26.06.2007 - 06:51:55,,,,,Admin,26.06.2007 - 06:51:55,,
